method,time_ms,memory_peak_kb
mysqli_procedural_static,95.1849,1889.4453125
mysqli_procedural_static,94.4334,1889.4453125
mysqli_procedural_static,94.8266,1889.4453125
mysqli_procedural_static,95.6423,1889.4453125
mysqli_procedural_static,95.4863,1889.4453125
mysqli_procedural_static,93.4283,1889.4453125
mysqli_procedural_static,95.2706,1889.4453125
mysqli_procedural_static,96.6996,1889.4453125
mysqli_procedural_static,97.6283,1889.4453125
mysqli_procedural_static,93.8991,1889.4453125
mysqli_procedural_static,95.7139,1889.4453125
mysqli_procedural_static,95.1973,1889.4453125
mysqli_procedural_static,95.2318,1889.4453125
mysqli_procedural_static,96.9786,1889.4453125
mysqli_procedural_static,95.3027,1889.4453125
mysqli_procedural_static,95.0739,1889.4453125
mysqli_procedural_static,96.2618,1889.4453125
mysqli_procedural_static,95.4234,1889.4453125
mysqli_procedural_static,95.1756,1889.4453125
mysqli_procedural_static,94.2783,1889.4453125
mysqli_procedural_static,93.835,1889.4453125
mysqli_procedural_static,94.4953,1889.4453125
mysqli_procedural_static,94.9528,1889.4453125
mysqli_procedural_static,96.347,1889.4453125
mysqli_procedural_static,93.9103,1889.4453125
mysqli_procedural_static,94.8802,1889.4453125
mysqli_procedural_static,97.0839,1889.4453125
mysqli_procedural_static,102.9931,1889.4453125
mysqli_procedural_static,95.8329,1889.4453125
mysqli_procedural_static,94.7686,1889.4453125
mysqli_procedural_static,94.3076,1889.4453125
mysqli_procedural_static,94.7335,1889.4453125
mysqli_procedural_static,95.1234,1889.4453125
mysqli_procedural_static,96.8888,1889.4453125
mysqli_procedural_static,97.4601,1889.4453125
mysqli_procedural_static,95.3965,1889.4453125
mysqli_procedural_static,96.1671,1889.4453125
mysqli_procedural_static,95.0076,1889.4453125
mysqli_procedural_static,94.9752,1889.4453125
mysqli_procedural_static,96.2074,1889.4453125
mysqli_procedural_static,95.2377,1889.4453125
mysqli_procedural_static,94.2426,1889.4453125
mysqli_procedural_static,94.3768,1889.4453125
mysqli_procedural_static,93.8897,1889.4453125
mysqli_procedural_static,96.2508,1889.4453125
mysqli_procedural_static,95.1916,1889.4453125
mysqli_procedural_static,95.7359,1889.4453125
mysqli_procedural_static,93.9777,1889.4453125
mysqli_procedural_static,95.5786,1889.4453125
mysqli_procedural_static,96.8674,1889.4453125
mysqli_procedural_static,94.7848,1889.4453125
mysqli_procedural_static,94.1187,1889.4453125
mysqli_object_static,100.8167,1913.1796875
mysqli_object_static,96.5297,1912.4453125
mysqli_object_static,95.5272,1912.4453125
mysqli_object_static,96.704,1912.4453125
mysqli_object_static,96.6096,1912.4453125
mysqli_object_static,95.6082,1912.4453125
mysqli_object_static,96.3561,1912.4453125
mysqli_object_static,94.3732,1912.4453125
mysqli_object_static,97.8718,1912.4453125
mysqli_object_static,95.6404,1911.8203125
mysqli_object_static,96.4412,1911.8203125
mysqli_object_static,94.5698,1911.8203125
mysqli_object_static,95.1015,1911.8203125
mysqli_object_static,96.9943,1911.8203125
mysqli_object_static,96.909,1911.8203125
mysqli_object_static,96.6734,1911.8203125
mysqli_object_static,95.7482,1911.8203125
mysqli_object_static,95.1316,1910.5703125
mysqli_object_static,104.5503,1910.5703125
mysqli_object_static,95.4333,1910.5703125
mysqli_object_static,96.9927,1910.5703125
mysqli_object_static,94.6244,1910.5703125
mysqli_object_static,94.486,1910.5703125
mysqli_object_static,96.1292,1910.5703125
mysqli_object_static,95.2867,1910.5703125
mysqli_object_static,95.8733,1910.5703125
mysqli_object_static,96.5497,1910.5703125
mysqli_object_static,97.6679,1910.5703125
mysqli_object_static,96.4233,1910.5703125
mysqli_object_static,95.9241,1910.5703125
mysqli_object_static,94.5717,1910.5703125
mysqli_object_static,95.4816,1910.5703125
