method,time_ms,memory_peak_kb
mysqli_object_static,16.2188,41.6953125
mysqli_object_static,15.1767,41.6953125
mysqli_object_static,15.3007,41.6953125
mysqli_object_static,15.505,41.6953125
mysqli_object_static,15.4342,41.6953125
mysqli_object_static,15.8389,41.6953125
mysqli_prepared_static,15.5538,39.9140625
mysqli_prepared_static,16.3698,39.1796875
mysqli_prepared_static,15.5133,39.1796875
mysqli_prepared_static,15.196,39.1796875
mysqli_prepared_static,14.8553,39.1796875
mysqli_prepared_static,15.4733,39.1796875
mysqli_prepared_static,15.2875,39.1796875
mysqli_prepared_static,14.893,39.1796875
mysqli_prepared_static,16.8775,39.1796875
mysqli_prepared_static,15.4592,38.5546875
mysqli_prepared_static,15.2739,38.5546875
mysqli_prepared_static,14.5827,38.5546875
mysqli_prepared_static,15.2354,38.5546875
mysqli_prepared_static,14.6079,38.5546875
mysqli_prepared_static,15.0962,38.5546875
mysqli_prepared_static,15.2634,38.5546875
mysqli_prepared_static,15.2107,38.5546875
mysqli_prepared_static,15.2877,37.3046875
mysqli_prepared_static,15.3154,37.3046875
mysqli_prepared_static,17.5089,37.3046875
mysqli_prepared_static,15.0142,37.3046875
mysqli_prepared_static,14.7724,37.3046875
mysqli_prepared_static,17.1552,37.3046875
mysqli_prepared_static,14.8568,37.3046875
mysqli_prepared_static,14.7787,37.3046875
mysqli_prepared_static,15.3341,37.3046875
mysqli_prepared_static,15.3165,37.3046875
mysqli_prepared_static,15.4052,37.3046875
mysqli_prepared_static,15.0036,37.3046875
mysqli_prepared_static,15.1579,37.3046875
mysqli_prepared_static,15.539,37.3046875
mysqli_prepared_static,15.1953,37.3046875
mysqli_prepared_static,15.3197,37.3046875
mysqli_prepared_static,14.6881,34.8046875
mysqli_prepared_static,15.4112,34.8046875
mysqli_prepared_static,14.8692,34.8046875
mysqli_prepared_static,15.3587,34.8046875
mysqli_prepared_static,15.316,34.8046875
mysqli_prepared_static,15.1465,34.8046875
mysqli_prepared_static,15.2016,34.8046875
mysqli_prepared_static,15.7078,34.8046875
mysqli_prepared_static,15.0787,34.8046875
mysqli_prepared_static,15.1776,34.8046875
mysqli_prepared_static,15.2401,34.8046875
mysqli_prepared_static,15.1958,34.8046875
mysqli_prepared_static,15.2433,34.8046875
mysqli_prepared_static,14.6201,34.8046875
mysqli_prepared_static,15.3388,34.8046875
mysqli_prepared_static,15.3438,34.8046875
mysqli_prepared_static,15.2711,34.8046875
mysqli_prepared_static,15.2317,34.8046875
mysqli_prepared_static,14.8335,34.8046875
mysqli_prepared_static,15.4503,34.8046875
mysqli_prepared_static,15.3033,34.8046875
mysqli_prepared_static,15.3818,34.8046875
mysqli_prepared_static,15.1091,34.8046875
mysqli_prepared_static,15.1448,34.8046875
mysqli_prepared_static,17.3016,34.8046875
mysqli_prepared_static,21.2928,34.8046875
mysqli_prepared_static,15.1027,34.8046875
mysqli_prepared_static,15.2299,34.8046875
mysqli_prepared_static,15.3165,34.8046875
mysqli_prepared_static,14.8563,34.8046875
mysqli_prepared_static,14.7345,34.8046875
mysqli_prepared_static,16.1519,34.8046875
mysqli_prepared_static,15.2112,23.8046875
mysqli_prepared_static,15.2372,23.8046875
mysqli_prepared_static,15.3443,23.8046875
mysqli_prepared_static,15.1485,23.8046875
mysqli_prepared_static,15.6747,23.8046875
mysqli_prepared_static,15.1368,23.8046875
mysqli_prepared_static,15.2656,23.8046875
mysqli_prepared_static,23.5368,23.8046875
mysqli_prepared_static,14.9998,23.8046875
mysqli_prepared_static,15.095,23.8046875
mysqli_prepared_static,15.2387,23.8046875
mysqli_prepared_static,15.136,23.8046875
mysqli_prepared_static,15.182,23.8046875
mysqli_prepared_static,15.7953,23.8046875
mysqli_prepared_static,15.2932,23.8046875
mysqli_prepared_static,14.6595,23.8046875
mysqli_prepared_static,15.3931,23.8046875
mysqli_prepared_static,15.2921,23.8046875
mysqli_prepared_static,15.1346,23.8046875
mysqli_prepared_static,14.7585,23.8046875
mysqli_prepared_static,15.1101,23.8046875
mysqli_prepared_static,16.2016,23.8046875
mysqli_prepared_static,15.3004,23.8046875
mysqli_prepared_static,16.083,23.8046875
mysqli_prepared_static,15.5151,23.8046875
mysqli_prepared_static,15.994,23.8046875
mysqli_prepared_static,15.7602,23.8046875
mysqli_prepared_static,15.2632,23.8046875
mysqli_prepared_static,15.2352,23.8046875
mysqli_prepared_static,15.5088,23.8046875
mysqli_prepared_static,15.6749,23.8046875
mysqli_prepared_static,15.3689,23.8046875
mysqli_prepared_static,15.2622,23.8046875
mysqli_prepared_static,15.0009,23.8046875
mysqli_prepared_static,15.254,23.8046875
mysqli_prepared_static,15.1925,23.8046875
mysqli_prepared_static,15.8881,23.8046875
mysqli_prepared_static,15.1635,23.8046875
mysqli_prepared_static,14.4948,23.8046875
mysqli_prepared_static,16.0248,23.8046875
mysqli_prepared_static,15.2704,23.8046875
mysqli_prepared_static,15.2528,23.8046875
mysqli_prepared_static,15.2966,23.8046875
mysqli_prepared_static,15.279,23.8046875
mysqli_prepared_static,15.2118,23.8046875
mysqli_prepared_static,15.528,23.8046875
mysqli_prepared_static,14.8532,23.8046875
mysqli_prepared_static,15.0634,23.8046875
mysqli_prepared_static,15.2357,23.8046875
mysqli_prepared_static,15.7418,23.8046875
mysqli_prepared_static,15.3317,23.8046875
